year,municipality_name,municipality_oktmo,period_end,frequency,income_plan_deviation,program_expense_share,budget_amendments,debt_load,quality_rank,article136_high_subsidy_flag,source_file,publication_date,data_status
2025,Нефтеюганск,,2025-12-31,YEAR,0.10031511395622351,0.9747514500919305,7.0,0.0,6.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Нефтеюганский,,2025-12-31,YEAR,1.0790249928752242,0.9968377747969541,3.0,0.10025249095804827,9.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Нижневартовск,,2025-12-31,YEAR,0.1093557871652803,0.9591377826522307,3.0,0.02639652196185303,5.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Нижневартовский,,2025-12-31,YEAR,0.4920913760448926,0.9065044369505106,8.0,0.0,8.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Нягань,,2025-12-31,YEAR,0.12306985815480403,0.9954620468398742,6.0,0.16950374270597135,9.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Октябрьский,,2025-12-31,YEAR,0.20460707423553107,0.9965891260532049,5.0,0.0,3.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Покачи,,2025-12-31,YEAR,0.10144436362703525,0.9927231657944993,6.0,0.3455898223161223,12.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Пыть-Ях,,2025-12-31,YEAR,0.15171808064326558,0.9915721984517243,4.0,0.07830952885020417,11.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Радужный,,2025-12-31,YEAR,0.2262304035222111,0.9860017324924581,3.0,0.0,4.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Советский,,2025-12-31,YEAR,0.1875407166886105,0.9961248699372219,13.0,0.20358010717638872,5.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Сургут,,2025-12-31,YEAR,0.11055549147300403,0.929568242576485,4.0,0.0,10.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Сургутский,,2025-12-31,YEAR,0.1096563743657498,0.9999538393976305,2.0,0.0,2.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Урай,,2025-12-31,YEAR,0.11931833734008748,0.9879636988912437,4.0,0.0,3.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Ханты-Мансийск,,2025-12-31,YEAR,0.15764679198783363,0.9987677116664743,2.0,0.024303297977628324,1.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Ханты-Мансийский,,2025-12-31,YEAR,0.2174579672539227,0.9868458429122745,4.0,0.036637729252638696,6.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Югорск,,2025-12-31,YEAR,-0.02095421755322087,0.9898139897481196,4.0,0.2497140702708532,13.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
